date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;reproduction_rate;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred
6/03/2020;1;0;1;1;0.029;0;0.029;0.029;0;0;0;0;0;0;0;0;0
7/03/2020;9;8;1;0;0.264;0.235;0.029;0;0;0;0;0;0;0;0;0;0
8/03/2020;9;0;1;0;0.264;0;0.029;0;0;0;0;0;0;0;0;0;0
9/03/2020;11;2;1;0;0.323;0.059;0.029;0;0;0;0;0;0;0;0;0;0
10/03/2020;13;2;2;1;0.382;0.059;0.059;0.029;0;0;0;0;0;0;0;0;0
11/03/2020;15;2;2;0;0.441;0.059;0.059;0;0;0;0;0;0;0;0;0;0
12/03/2020;17;2;2;0;0.499;0.059;0.059;0;0;0;0;0;0;0;0;0;0
13/03/2020;26;9;2;0;0.764;0.264;0.059;0;0;0;0;0;0;0;0;0;0
14/03/2020;32;6;3;1;0.94;0.176;0.088;0.029;0;0;0;0;0;0;0;0;0
15/03/2020;47;15;3;0;1.38;0.441;0.088;0;0;0;0;0;0;0;0;0;0
16/03/2020;75;28;3;0;2.203;0.822;0.088;0;0;0;0;0;0;0;0;0;0
17/03/2020;90;15;5;2;2.643;0.441;0.147;0.059;0;0;0;0;0;0;0;0;0
18/03/2020;121;31;5;0;3.554;0.91;0.147;0;1.98;0;0;0;0;0;0;0;0
19/03/2020;234;113;9;4;6.872;3.319;0.264;0.117;1.98;0;0;0;0;0;0;0;0
20/03/2020;234;0;15;6;6.872;0;0.441;0.176;1.97;0;0;0;0;0;0;0;0
21/03/2020;318;84;20;5;9.339;2.467;0.587;0.147;1.96;0;0;0;0;0;0;0;0
22/03/2020;318;0;26;6;9.339;0;0.764;0.176;1.95;0;0;0;0;0;0;0;0
23/03/2020;318;0;30;4;9.339;0;0.881;0.117;1.94;0;0;0;0;0;0;0;0
24/03/2020;395;77;34;4;11.601;2.261;0.999;0.117;1.94;0;0;0;0;0;0;0;0
25/03/2020;416;21;39;5;12.217;0.617;1.145;0.147;1.94;0;0;0;0;0;0;0;0
26/03/2020;480;64;45;6;14.097;1.88;1.322;0.176;1.95;0;0;0;0;0;0;0;0
27/03/2020;580;100;57;12;17.034;2.937;1.674;0.352;1.95;0;0;0;0;0;0;0;0
28/03/2020;580;0;63;6;17.034;0;1.85;0.176;1.96;0;0;0;0;0;0;0;0
29/03/2020;635;55;71;8;18.649;1.615;2.085;0.235;1.97;0;0;0;0;0;0;0;0
30/03/2020;671;36;86;15;19.707;1.057;2.526;0.441;1.97;0;0;0;0;0;0;0;0
31/03/2020;852;181;95;9;25.022;5.316;2.79;0.264;1.97;0;0;0;0;0;0;0;0
1/04/2020;1065;213;113;18;31.278;6.256;3.319;0.529;1.98;0;0;0;0;0;0;0;0
2/04/2020;1323;258;138;25;38.855;7.577;4.053;0.734;1.98;0;0;0;0;0;0;0;0
3/04/2020;1323;0;161;23;38.855;0;4.728;0.675;1.98;0;0;0;0;0;0;0;0
4/04/2020;1414;91;183;22;41.528;2.673;5.375;0.646;1.99;0;0;0;0;0;0;0;0
5/04/2020;1595;181;209;26;46.843;5.316;6.138;0.764;1.99;0;0;0;0;0;0;0;0
6/04/2020;1746;151;258;49;51.278;4.435;7.577;1.439;1.99;0;0;0;0;0;0;0;0
7/04/2020;2281;535;317;59;66.991;15.712;9.31;1.733;1.98;0;0;0;0;0;0;0;0
8/04/2020;2561;280;360;43;75.214;8.223;10.573;1.263;1.98;0;0;0;0;0;0;0;0
9/04/2020;2954;393;423;63;86.756;11.542;12.423;1.85;1.95;0;0;0;0;0;0;0;0
10/04/2020;4342;1388;471;48;127.52;40.764;13.833;1.41;1.91;0;0;0;0;0;0;0;0
11/04/2020;5256;914;569;98;154.363;26.843;16.711;2.878;1.88;0;0;0;0;0;0;0;0
12/04/2020;5897;641;650;81;173.189;18.825;19.09;2.379;1.85;0;0;0;0;0;0;0;0
13/04/2020;6848;951;753;103;201.118;27.93;22.115;3.025;1.82;0;0;0;0;0;0;0;0
14/04/2020;7519;671;846;93;220.825;19.707;24.846;2.731;1.78;0;0;0;0;0;0;0;0
15/04/2020;7519;0;952;106;220.825;0;27.959;3.113;1.75;0;0;0;0;0;0;0;0
16/04/2020;10303;2784;1061;109;302.588;81.763;31.16;3.201;1.72;0;0;0;0;0;0;0;0
17/04/2020;11475;1172;1200;139;337.008;34.42;35.243;4.082;1.69;0;0;0;0;0;0;0;0
18/04/2020;13489;2014;1333;133;396.158;59.149;39.149;3.906;1.66;0;0;0;0;0;0;0;0
19/04/2020;13489;0;1490;157;396.158;0;43.76;4.611;1.64;0;0;0;0;0;0;0;0
20/04/2020;14420;931;1628;138;423.5;27.342;47.813;4.053;1.62;0;0;0;0;0;0;0;0
21/04/2020;15628;1208;1786;158;458.978;35.478;52.453;4.64;1.61;0;0;0;0;0;0;0;0
22/04/2020;16325;697;1990;204;479.448;20.47;58.444;5.991;1.59;0;0;0;0;0;0;0;0
23/04/2020;17837;1512;2199;209;523.854;44.406;64.582;6.138;1.58;0;0;0;0;0;0;0;0
24/04/2020;19250;1413;2418;219;565.352;41.498;71.014;6.432;1.57;0;0;0;0;0;0;0;0
25/04/2020;20914;1664;2664;246;614.222;48.87;78.239;7.225;1.56;0;0;0;0;0;0;0;0
26/04/2020;21648;734;2910;246;635.779;21.557;85.464;7.225;1.54;0;0;0;0;0;0;0;0
27/04/2020;25331;3683;3198;288;743.944;108.166;93.922;8.458;1.52;0;0;0;0;0;0;0;0
28/04/2020;27517;2186;3488;290;808.145;64.2;102.439;8.517;1.5;0;0;0;0;0;0;0;0
29/04/2020;28699;1182;3793;305;842.859;34.714;111.396;8.958;1.49;0;0;0;0;0;0;0;0
30/04/2020;31190;2491;4106;313;916.017;73.158;120.589;9.192;1.47;0;0;0;0;0;0;0;0
1/05/2020;33931;2741;4450;344;996.517;80.5;130.692;10.103;1.45;0;0;0;0;0;0;0;0
2/05/2020;36976;3045;4782;332;1085.946;89.428;140.442;9.75;1.43;0;0;0;0;0;0;0;0
3/05/2020;40459;3483;5181;399;1188.238;102.292;152.16;11.718;1.41;0;0;0;0;0;0;0;0
4/05/2020;42534;2075;5589;408;1249.178;60.941;164.143;11.983;1.4;0;0;0;0;0;0;0;0
5/05/2020;45928;3394;6004;415;1348.856;99.678;176.331;12.188;1.38;0;0;0;0;0;0;0;0
6/05/2020;47372;1444;6442;438;1391.265;42.409;189.195;12.864;1.37;0;0;0;0;0;0;0;0
7/05/2020;51189;3817;6871;429;1503.366;112.101;201.794;12.599;1.35;0;0;0;0;0;0;0;0
8/05/2020;54817;3628;7328;457;1609.917;106.55;215.216;13.422;1.33;0;0;0;0;0;0;0;0
9/05/2020;58526;3709;7809;481;1718.846;108.929;229.342;14.126;1.32;0;0;0;0;0;0;0;0
10/05/2020;61847;3321;8263;454;1816.38;97.534;242.675;13.333;1.3;0;0;0;0;0;0;0;0
11/05/2020;65015;3168;8740;477;1909.421;93.041;256.684;14.009;1.29;0;0;0;0;0;0;0;0
12/05/2020;67307;2292;9258;518;1976.735;67.314;271.898;15.213;1.28;0;0;0;0;0;0;0;0
13/05/2020;68822;1515;9778;520;2021.229;44.494;287.169;15.272;1.28;0;0;0;0;0;0;0;0
14/05/2020;72059;3237;10294;516;2116.296;95.067;302.324;15.154;1.27;0;0;0;0;0;0;0;0
15/05/2020;76306;4247;10760;466;2241.026;124.73;316.01;13.686;1.26;0;0;0;0;0;0;0;0
16/05/2020;80604;4298;11277;517;2367.253;126.228;331.193;15.184;1.25;0;0;0;0;0;0;0;0
17/05/2020;84495;3891;11824;547;2481.528;114.275;347.258;16.065;1.24;0;0;0;0;0;0;0;0
18/05/2020;88541;4046;12333;509;2600.355;118.827;362.207;14.949;1.23;0;0;0;0;0;0;0;0
19/05/2020;92273;3732;12835;502;2709.959;109.605;376.95;14.743;1.22;0;0;0;0;0;0;0;0
20/05/2020;94933;2660;13369;534;2788.081;78.121;392.633;15.683;1.22;0;0;0;0;0;0;0;0
21/05/2020;99483;4550;13984;615;2921.709;133.629;410.695;18.062;1.21;0;0;0;0;0;0;0;0
22/05/2020;104020;4537;14512;528;3054.956;133.247;426.202;15.507;1.2;0;0;0;0;0;0;0;0
23/05/2020;108769;4749;15056;544;3194.429;139.473;442.179;15.977;1.19;0;0;0;0;0;0;0;0
24/05/2020;111698;2929;15583;527;3280.451;86.022;457.656;15.477;1.19;0;0;0;0;0;0;0;0
25/05/2020;115754;4056;16101;518;3399.571;119.12;472.869;15.213;1.18;0;0;0;0;0;0;0;0
26/05/2020;119959;4205;16644;543;3523.068;123.496;488.816;15.947;1.18;0;0;0;0;0;0;0;0
27/05/2020;123979;4020;17216;572;3641.131;118.063;505.616;16.799;1.17;0;0;0;0;0;0;0;0
28/05/2020;129751;5772;17796;580;3810.648;169.517;522.649;17.034;1.16;0;0;0;0;0;0;0;0
29/05/2020;135905;6154;18340;544;3991.385;180.736;538.626;15.977;1.16;0;0;0;0;0;0;0;0
30/05/2020;141779;5874;18929;589;4163.898;172.513;555.924;17.298;1.14;0;0;0;0;0;0;0;0
31/05/2020;148285;6506;19483;554;4354.972;191.074;572.195;16.27;1.13;0;0;0;0;0;0;0;0
1/06/2020;155671;7386;20116;633;4571.891;216.919;590.785;18.591;1.11;0;0;0;0;0;0;0;0
2/06/2020;164476;8805;20715;599;4830.484;258.593;608.377;17.592;1.1;0;0;0;0;0;0;0;0
3/06/2020;170039;5563;21284;569;4993.864;163.379;625.088;16.711;1.08;0;0;0;0;0;0;0;0
4/06/2020;174884;4845;21946;662;5136.156;142.292;644.531;19.442;1.07;0;0;0;0;0;0;0;0
5/06/2020;178914;4030;22485;539;5254.513;118.357;660.36;15.83;1.06;0;0;0;0;0;0;0;0
6/06/2020;183198;4284;23034;549;5380.329;125.817;676.484;16.124;1.05;0;0;0;0;0;0;0;0
7/06/2020;187400;4202;23651;617;5503.738;123.408;694.605;18.121;1.04;0;0;0;0;0;0;0;0
8/06/2020;191758;4358;24239;588;5631.727;127.99;711.874;17.269;1.03;0;0;0;0;0;0;0;0
9/06/2020;196515;4757;24851;612;5771.435;139.708;729.847;17.974;1.03;0;0;0;0;0;0;0;0
10/06/2020;199696;3181;25421;570;5864.858;93.423;746.588;16.74;1.03;0;0;0;0;0;0;0;0
11/06/2020;203736;4040;26040;619;5983.509;118.65;764.767;18.179;1.02;0;0;0;0;0;0;0;0
12/06/2020;208823;5087;26637;597;6132.908;149.4;782.3;17.533;1.01;0;0;0;0;0;0;0;0
13/06/2020;214788;5965;27254;617;6308.094;175.186;800.421;18.121;1.01;0;0;0;0;0;0;0;0
14/06/2020;220749;5961;27856;602;6483.162;175.068;818.101;17.68;1.01;0;0;0;0;0;0;0;0
15/06/2020;225132;4383;28420;564;6611.886;128.724;834.665;16.564;1;0;0;0;0;0;0;0;0
16/06/2020;229736;4604;29047;627;6747.101;135.215;853.079;18.414;1;0;0;0;0;0;0;0;0
17/06/2020;232992;3256;29645;598;6842.726;95.625;870.642;17.563;0.99;0;0;0;0;0;0;0;0
18/06/2020;237156;4164;30275;630;6965.018;122.292;889.144;18.502;0.98;0;0;0;0;0;0;0;0
19/06/2020;240908;3752;30889;614;7075.21;110.192;907.177;18.033;0.98;0;0;0;0;0;0;0;0
20/06/2020;244388;3480;31495;606;7177.414;102.204;924.974;17.798;0.98;0;0;0;0;0;0;0;0
21/06/2020;247925;3537;32020;525;7281.292;103.878;940.393;15.419;0.98;0;0;0;0;0;0;0;0
22/06/2020;251338;3413;32637;617;7381.528;100.236;958.514;18.121;0.98;0;0;0;0;0;0;0;0
23/06/2020;254936;3598;33225;588;7487.198;105.669;975.783;17.269;0.98;0;0;0;0;0;0;0;0
24/06/2020;257447;2511;33770;545;7560.943;73.745;991.789;16.006;0.98;0;0;0;0;0;0;0;0
25/06/2020;260810;3363;34311;541;7659.711;98.768;1007.677;15.889;0.98;0;0;0;0;0;0;0;0
26/06/2020;264689;3879;34864;553;7773.633;113.922;1023.918;16.241;0.98;0;0;0;0;0;0;0;0
27/06/2020;268602;3913;35394;530;7888.554;114.921;1039.484;15.566;0.99;0;0;0;0;0;0;0;0
28/06/2020;272364;3762;35912;518;7999.04;110.486;1054.697;15.213;0.99;0;0;0;0;0;0;0;0
29/06/2020;275989;3625;36439;527;8105.502;106.462;1070.174;15.477;0.99;0;0;0;0;0;0;0;0
30/06/2020;279419;3430;36974;535;8206.237;100.735;1085.887;15.712;0.99;0;0;0;0;0;0;0;0
1/07/2020;282365;2946;37512;538;8292.758;86.521;1101.687;15.8;1;0;0;0;0;0;0;0;0
2/07/2020;285213;2848;38011;499;8376.401;83.643;1116.342;14.655;1;0;0;0;0;0;0;0;0
3/07/2020;288477;3264;38568;557;8472.261;95.86;1132.701;16.358;1.01;0;0;0;0;0;0;0;0
4/07/2020;292004;3527;39101;533;8575.845;103.584;1148.355;15.654;1.01;0;0;0;0;0;0;0;0
5/07/2020;295599;3595;39637;536;8681.427;105.581;1164.096;15.742;1.02;0;0;0;0;0;0;0;0
6/07/2020;299080;3481;40205;568;8783.66;102.233;1180.778;16.682;1.02;0;0;0;0;0;0;0;0
7/07/2020;302718;3638;40728;523;8890.504;106.844;1196.138;15.36;1.03;0;0;0;0;0;0;0;0
8/07/2020;305703;2985;41310;582;8978.17;87.666;1213.231;17.093;1.03;0;0;0;0;0;0;0;0
9/07/2020;309278;3575;41870;560;9083.164;104.994;1229.677;16.447;1.04;0;0;0;0;0;0;0;0
10/07/2020;312911;3633;42414;544;9189.862;106.697;1245.654;15.977;1.05;0;0;0;0;0;0;0;0
11/07/2020;316448;3537;42985;571;9293.739;103.878;1262.423;16.77;1.05;0;0;0;0;0;0;0;0
12/07/2020;319646;3198;43507;522;9387.661;93.922;1277.754;15.331;1.06;0;0;0;0;0;0;0;0
13/07/2020;322710;3064;44085;578;9477.648;89.986;1294.729;16.975;1.07;0;0;0;0;0;0;0;0
14/07/2020;326326;3616;44667;582;9583.846;106.198;1311.822;17.093;1.07;0;0;0;0;0;0;0;0
15/07/2020;330123;3797;45258;591;9695.36;111.514;1329.179;17.357;1.08;0;0;0;0;0;0;0;0
16/07/2020;333867;3744;45856;598;9805.317;109.957;1346.742;17.563;1.09;0;0;0;0;0;0;0;0
17/07/2020;337724;3857;46453;597;9918.593;113.276;1364.275;17.533;1.1;0;0;0;0;0;0;0;0
18/07/2020;341586;3862;47071;618;10032.016;113.423;1382.425;18.15;1.1;0;0;0;0;0;0;0;0
19/07/2020;345537;3951;47643;572;10148.052;116.037;1399.224;16.799;1.11;0;0;0;0;0;0;0;0
20/07/2020;349500;3963;48242;599;10264.441;116.389;1416.816;17.592;1.12;0;0;0;0;0;0;0;0
21/07/2020;353590;4090;48842;600;10384.56;120.119;1434.437;17.621;1.13;0;0;0;0;0;0;0;0
22/07/2020;357681;4091;49434;592;10504.709;120.148;1451.824;17.386;1.13;0;0;0;0;0;0;0;0
23/07/2020;362087;4406;50064;630;10634.108;129.4;1470.326;18.502;1.14;0;0;0;0;0;0;0;0
24/07/2020;366550;4463;50665;601;10765.182;131.074;1487.977;17.651;1.15;0;0;0;0;0;0;0;0
25/07/2020;371096;4546;51283;618;10898.693;133.511;1506.127;18.15;1.15;0;0;0;0;0;0;0;0
26/07/2020;375961;4865;51902;619;11041.573;142.88;1524.306;18.179;1.17;0;0;0;0;0;0;0;0
27/07/2020;379884;3923;52483;581;11156.787;115.214;1541.37;17.063;1.19;0;0;0;0;0;0;0;0
28/07/2020;384797;4913;53100;617;11301.077;144.29;1559.49;18.121;1.19;0;0;0;0;0;0;0;0
29/07/2020;389717;4920;53723;623;11445.572;144.495;1577.787;18.297;1.19;0;0;0;0;0;0;0;0
30/07/2020;395005;5288;54379;656;11600.875;155.303;1597.053;19.266;1.2;0;0;0;0;0;0;0;0
31/07/2020;400683;5678;54995;616;11767.631;166.757;1615.144;18.091;1.2;0;0;0;0;0;0;0;0
1/08/2020;407492;6809;55584;589;11967.604;199.973;1632.443;17.298;1.21;0;0;0;0;0;0;0;0
2/08/2020;414735;7243;56188;604;12180.324;212.719;1650.181;17.739;1.22;0;0;0;0;0;0;0;0
3/08/2020;422183;7448;56822;634;12399.063;218.74;1668.801;18.62;1.21;0;0;0;0;0;0;0;0
4/08/2020;428850;6667;57493;671;12594.866;195.803;1688.508;19.707;1.2;0;0;0;0;0;0;0;0
5/08/2020;433100;4250;58072;579;12719.684;124.818;1705.513;17.005;1.19;0;0;0;0;0;0;0;0
6/08/2020;439890;6790;58735;663;12919.099;199.415;1724.984;19.472;1.18;0;0;0;0;0;0;0;0
7/08/2020;447624;7734;59393;658;13146.238;227.139;1744.309;19.325;1.17;0;0;0;0;0;0;0;0
8/08/2020;455409;7785;59996;603;13374.875;228.637;1762.018;17.709;1.17;0;0;0;0;0;0;0;0
9/08/2020;463875;8466;60627;631;13623.513;248.637;1780.55;18.532;1.16;0;0;0;0;0;0;0;0
10/08/2020;471012;7137;61296;669;13833.119;209.606;1800.198;19.648;1.15;0;0;0;0;0;0;0;0
11/08/2020;478024;7012;61949;653;14039.054;205.935;1819.376;19.178;1.14;0;0;0;0;0;0;0;0
12/08/2020;483133;5109;62534;585;14189.1;150.046;1836.557;17.181;1.14;0;0;0;0;0;0;0;0
13/08/2020;489680;6547;63170;636;14381.378;192.278;1855.235;18.679;1.14;0;0;0;0;0;0;0;0
14/08/2020;498555;8875;63758;588;14642.027;260.649;1872.504;17.269;1.13;0;0;0;0;0;0;0;0
15/08/2020;507996;9441;64381;623;14919.299;277.272;1890.801;18.297;1.12;0;0;0;0;0;0;0;0
16/08/2020;516296;8300;65036;655;15163.062;243.762;1910.038;19.237;1.11;0;0;0;0;0;0;0;0
17/08/2020;525803;9507;65687;651;15442.272;279.21;1929.157;19.119;1.11;0;0;0;0;0;0;0;0
18/08/2020;535946;10143;66272;585;15740.161;297.889;1946.338;17.181;1.1;0;0;0;0;0;0;0;0
19/08/2020;541493;5547;66823;551;15903.071;162.909;1962.52;16.182;1.09;0;0;0;0;0;0;0;0
20/08/2020;549321;7828;67437;614;16132.971;229.9;1980.553;18.033;1.08;0;0;0;0;0;0;0;0
21/08/2020;558420;9099;68013;576;16400.198;267.228;1997.469;16.917;1.07;0;0;0;0;0;0;0;0
22/08/2020;567059;8639;68530;517;16653.917;253.718;2012.653;15.184;1.07;0;0;0;0;0;0;0;0
23/08/2020;576067;9008;69036;506;16918.472;264.555;2027.514;14.861;1.05;0;0;0;0;0;0;0;0
24/08/2020;585236;9169;69557;521;17187.756;269.284;2042.815;15.301;1.05;0;0;0;0;0;0;0;0
25/08/2020;594326;9090;70072;515;17454.719;266.964;2057.94;15.125;1.04;0;0;0;0;0;0;0;0
26/08/2020;600438;6112;70597;525;17634.222;179.503;2073.358;15.419;1.03;0;0;0;0;0;0;0;0
27/08/2020;607382;6944;71111;514;17838.16;203.938;2088.454;15.096;1.02;0;0;0;0;0;0;0;0
28/08/2020;613378;5996;71636;525;18014.256;176.096;2103.873;15.419;1.01;0;0;0;0;0;0;0;0
29/08/2020;621997;8619;72082;446;18267.387;253.131;2116.971;13.099;1;0;0;0;0;0;0;0;0
30/08/2020;629961;7964;72573;491;18501.281;233.894;2131.391;14.42;1;0;0;0;0;0;0;0;0
31/08/2020;639435;9474;73059;486;18779.522;278.241;2145.665;14.273;0.99;0;0;0;0;0;0;0;0
1/09/2020;647166;7731;73487;428;19006.574;227.051;2158.235;12.57;0.98;0;0;0;0;0;0;0;0
2/09/2020;652037;4871;73872;385;19149.63;143.056;2169.542;11.307;0.98;0;0;0;0;0;0;0;0
3/09/2020;657129;5092;74300;428;19299.176;149.547;2182.112;12.57;0.97;0;0;0;0;0;0;0;0
4/09/2020;663437;6308;74677;377;19484.435;185.259;2193.184;11.072;0.97;0;0;0;0;0;0;0;0
5/09/2020;670145;6708;75078;401;19681.442;197.007;2204.961;11.777;0.96;0;0;0;0;0;0;0;0
6/09/2020;676848;6703;75438;360;19878.302;196.86;2215.533;10.573;0.96;0;0;0;0;0;0;0;0
7/09/2020;683702;6854;75804;366;20079.597;201.295;2226.282;10.749;0.96;0;0;0;0;0;0;0;0
8/09/2020;689977;6275;76165;361;20263.887;184.29;2236.885;10.602;0.95;0;0;0;0;0;0;0;0
9/09/2020;691575;1598;76519;354;20310.818;46.932;2247.281;10.397;0.95;0;0;0;0;0;0;0;0
10/09/2020;696190;4615;76852;333;20446.356;135.538;2257.061;9.78;0.95;0;0;0;0;0;0;0;0
11/09/2020;702776;6586;77173;321;20639.78;193.424;2266.489;9.427;0.95;0;0;0;0;0;0;0;0
12/09/2020;710067;7291;77496;323;20853.909;214.129;2275.975;9.486;0.95;0;0;0;0;0;0;0;0
13/09/2020;716670;6603;77799;303;21047.832;193.923;2284.873;8.899;0.95;0;0;0;0;0;0;0;0
14/09/2020;722832;6162;78093;294;21228.803;180.971;2293.508;8.634;0.95;0;0;0;0;0;0;0;0
15/09/2020;729619;6787;78384;291;21428.13;199.327;2302.054;8.546;0.94;0;0;0;0;0;0;0;0
16/09/2020;733860;4241;78663;279;21552.684;124.554;2310.248;8.194;0.94;0;0;0;0;0;0;0;0
17/09/2020;738020;4160;78951;288;21674.858;122.175;2318.706;8.458;0.94;0;0;0;0;0;0;0;0
18/09/2020;744400;6380;79232;281;21862.232;187.374;2326.959;8.253;0.94;0;0;0;0;0;0;0;0
19/09/2020;750098;5698;79492;260;22029.576;167.344;2334.595;7.636;0.93;0;0;0;0;0;0;0;0
20/09/2020;756412;6314;79745;253;22215.012;185.435;2342.025;7.43;0.93;0;0;0;0;0;0;0;0
21/09/2020;762865;6453;79992;247;22404.53;189.518;2349.28;7.254;0.93;0;0;0;0;0;0;0;0
22/09/2020;768895;6030;80275;283;22581.624;177.095;2357.591;8.311;0.93;0;0;0;0;0;0;0;0
23/09/2020;772896;4001;80516;241;22699.129;117.505;2364.669;7.078;0.93;0;0;0;0;0;0;0;0
24/09/2020;776546;3650;80750;234;22806.326;107.197;2371.541;6.872;0.92;0;0;0;0;0;0;0;0
25/09/2020;782695;6149;80984;234;22986.915;180.59;2378.414;6.872;0.92;0;0;0;0;0;0;0;0
26/09/2020;788930;6235;81206;222;23170.031;183.115;2384.933;6.52;0.91;0;0;0;0;0;0;0;0
27/09/2020;794584;5654;81420;214;23336.083;166.052;2391.218;6.285;0.9;0;0;0;0;0;0;0;0
28/09/2020;800142;5558;81639;219;23499.315;163.233;2397.65;6.432;0.9;0;0;0;0;0;0;0;0
29/09/2020;805302;5160;81870;231;23650.859;151.544;2404.434;6.784;0.89;0;0;0;0;0;0;0;0
30/09/2020;808714;3412;82036;166;23751.066;100.207;2409.31;4.875;0.89;0;0;0;0;0;0;0;0
1/10/2020;811768;3054;82236;200;23840.758;89.693;2415.183;5.874;0.88;0;0;0;0;0;0;0;0
2/10/2020;814829;3061;82412;176;23930.657;89.898;2420.352;5.169;0.88;0;0;0;0;0;0;0;0
3/10/2020;818297;3468;82572;160;24032.508;101.851;2425.051;4.699;0.88;0;0;0;0;0;0;0;0
4/10/2020;821564;3267;82755;183;24128.456;95.948;2430.426;5.375;0.88;0;0;0;0;0;0;0;0
5/10/2020;824985;3421;82916;161;24228.928;100.471;2435.154;4.728;0.89;0;0;0;0;0;0;0;0
6/10/2020;828169;3184;83087;171;24322.438;93.511;2440.176;5.022;0.89;0;0;0;0;0;0;0;0
7/10/2020;829999;1830;83270;183;24376.183;53.745;2445.551;5.375;0.89;0;0;0;0;0;0;0;0
8/10/2020;832929;2930;83437;167;24462.234;86.051;2450.455;4.905;0.89;0;0;0;0;0;0;0;0
9/10/2020;835662;2733;83612;175;24542.5;80.265;2455.595;5.14;0.9;0;0;0;0;0;0;0;0
10/10/2020;838614;2952;83793;181;24629.197;86.697;2460.911;5.316;0.9;0;0;0;0;0;0;0;0
11/10/2020;843355;4741;83945;152;24768.435;139.238;2465.375;4.464;0.9;0;0;0;0;0;0;0;0
12/10/2020;846088;2733;84104;159;24848.7;80.265;2470.045;4.67;0.9;0;0;0;0;0;0;0;0
13/10/2020;849371;3283;84257;153;24945.118;96.418;2474.538;4.493;0.9;0;0;0;0;0;0;0;0
14/10/2020;851171;1800;84393;136;24997.982;52.864;2478.532;3.994;0.9;0;0;0;0;0;0;0;0
15/10/2020;853974;2803;84542;149;25080.303;82.321;2482.908;4.376;0.91;0;0;0;0;0;0;0;0
16/10/2020;856951;2977;84691;149;25167.735;87.431;2487.284;4.376;0.91;0;0;0;0;0;0;0;0
17/10/2020;859740;2789;84827;136;25249.645;81.91;2491.278;3.994;0.91;0;0;0;0;0;0;0;0
18/10/2020;862417;2677;84959;132;25328.265;78.621;2495.155;3.877;0.92;0;0;0;0;0;0;0;0
19/10/2020;865549;3132;85107;148;25420.249;91.983;2499.502;4.347;0.93;0;0;0;0;0;0;0;0
20/10/2020;868675;3126;85234;127;25512.056;91.807;2503.231;3.73;0.93;0;0;0;0;0;0;0;0
21/10/2020;870876;2201;85356;122;25576.697;64.641;2506.814;3.583;0.94;0;0;0;0;0;0;0;0
22/10/2020;874118;3242;85499;143;25671.911;95.214;2511.014;4.2;0.94;0;0;0;0;0;0;0;0
23/10/2020;876885;2767;85635;136;25753.175;81.264;2515.008;3.994;0.94;0;0;0;0;0;0;0;0
24/10/2020;879876;2991;85763;128;25841.018;87.842;2518.768;3.759;0.94;0;0;0;0;0;0;0;0
25/10/2020;883116;3240;85876;113;25936.173;95.155;2522.086;3.319;0.94;0;0;0;0;0;0;0;0
26/10/2020;886214;3098;85992;116;26027.158;90.985;2525.493;3.407;0.94;0;0;0;0;0;0;0;0
27/10/2020;888715;2501;86097;105;26100.609;73.452;2528.577;3.084;0.94;0;0;0;0;0;0;0;0
28/10/2020;890574;1859;86190;93;26155.206;54.597;2531.308;2.731;0.94;0;0;0;0;0;0;0;0
29/10/2020;892497;1923;86314;124;26211.683;56.476;2534.95;3.642;0.95;0;0;0;0;0;0;0;0
30/10/2020;894928;2431;86425;111;26283.079;71.396;2538.21;3.26;0.95;0;0;0;0;0;0;0;0
31/10/2020;897594;2666;86546;121;26361.376;78.298;2541.764;3.554;0.96;0;0;0;0;0;0;0;0
1/11/2020;900180;2586;86653;107;26437.324;75.948;2544.906;3.142;0.96;0;0;0;0;0;0;0;0
2/11/2020;902503;2323;86780;127;26505.548;68.224;2548.636;3.73;0.97;0;0;0;0;0;0;0;0
3/11/2020;904911;2408;86873;93;26576.269;70.72;2551.367;2.731;0.98;0;0;0;0;0;0;0;0
4/11/2020;906545;1634;86987;114;26624.258;47.989;2554.715;3.348;1;0;0;0;0;0;0;0;0
5/11/2020;908902;2357;87093;106;26693.48;69.223;2557.828;3.113;0.99;0;0;0;0;0;0;0;0
6/11/2020;911787;2885;87191;98;26778.209;84.729;2560.706;2.878;0.98;0;0;0;0;0;0;0;0
7/11/2020;914722;2935;87317;126;26864.407;86.198;2564.407;3.7;0.98;0;0;0;0;0;0;0;0
8/11/2020;917503;2781;87414;97;26946.082;81.675;2567.256;2.849;0.97;0;0;0;0;0;0;0;0
9/11/2020;920010;2507;87521;107;27019.71;73.628;2570.398;3.142;0.97;0;0;0;0;0;0;0;0
10/11/2020;922333;2323;87613;92;27087.934;68.224;2573.1;2.702;0.97;0;0;0;0;0;0;0;0
11/11/2020;923527;1194;87717;104;27123.001;35.067;2576.155;3.054;0.97;0;0;0;0;0;0;0;0
12/11/2020;925431;1904;87827;110;27178.919;55.918;2579.385;3.231;0.97;0;0;0;0;0;0;0;0
13/11/2020;928006;2575;87931;104;27254.544;75.625;2582.439;3.054;0.97;0;0;0;0;0;0;0;0
